Date,Solar_Index,Temperature,Humidity,Wind_Speed,Precipitation,Location
2023-03-03,5.2202,30.26,31.1,1.73,0.0,Ghatkopar
2023-03-04,4.9927,30.39,33.89,1.83,0.0,Ghatkopar
2023-03-05,4.4407,30.13,36.74,1.81,0.12,Ghatkopar
2023-03-06,3.7793,30.05,37.3,2.02,2.44,Ghatkopar
2023-03-07,4.8617,29.31,34.9,2.45,0.9,Ghatkopar
2023-03-08,5.9134,29.41,33.52,2.17,0.02,Ghatkopar
2023-03-09,6.1274,29.78,28.94,2.89,0.0,Ghatkopar
2023-03-10,6.1567,29.38,23.9,2.97,0.0,Ghatkopar
2023-03-11,5.9126,30.16,24.43,2.43,0.0,Ghatkopar
2023-03-12,5.5637,31.17,30.49,1.93,0.0,Ghatkopar
2023-03-13,5.0302,30.93,30.16,2.15,0.0,Ghatkopar
2023-03-14,4.8751,30.79,29.83,1.76,0.0,Ghatkopar
2023-03-15,3.7502,30.23,34.95,1.65,0.32,Ghatkopar
2023-03-16,3.8782,28.38,47.94,1.68,0.86,Ghatkopar
2023-03-17,5.2985,28.37,54.07,2.07,1.08,Ghatkopar
2023-03-18,6.2146,27.81,51.64,1.96,0.87,Ghatkopar
2023-03-19,6.5662,26.5,56.7,2.11,0.67,Ghatkopar
2023-03-20,6.6878,26.23,59.62,2.41,1.23,Ghatkopar
2023-03-21,6.3864,26.27,60.63,1.91,7.46,Ghatkopar
2023-03-22,6.7982,26.16,60.69,2.11,0.01,Ghatkopar
2023-03-23,6.4054,26.17,61.6,2.43,0.0,Ghatkopar
2023-03-24,6.9341,26.68,60.3,2.58,0.0,Ghatkopar
2023-03-25,7.1693,25.49,51.93,2.33,0.0,Ghatkopar
2023-03-26,7.026,25.57,52.78,2.41,0.0,Ghatkopar
2023-03-27,7.0058,26.34,59.53,2.17,0.0,Ghatkopar
2023-03-28,6.9012,27.29,59.21,2.03,0.02,Ghatkopar
2023-03-29,6.9967,27.24,58.03,2.09,0.0,Ghatkopar
2023-03-30,6.6962,27.15,58.84,1.96,0.0,Ghatkopar
2023-03-31,6.8794,27.04,57.27,2.52,0.03,Ghatkopar
2023-04-01,7.2247,27.44,51.68,2.52,0.0,Ghatkopar
2023-04-02,7.207,27.5,57.81,2.33,0.0,Ghatkopar
2023-04-03,7.0111,27.73,55.57,2.2,0.0,Ghatkopar
2023-04-04,7.007,28.62,54.91,2.21,0.0,Ghatkopar
2023-04-05,6.6965,29.25,50.43,2.22,0.03,Ghatkopar
2023-04-06,6.8724,30.05,48.92,2.64,0.18,Ghatkopar
2023-04-07,5.9198,31.86,35.04,2.26,0.28,Ghatkopar
2023-04-08,5.5954,32.67,35.68,2.2,0.03,Ghatkopar
2023-04-09,6.3454,32.36,38.74,2.08,0.5,Ghatkopar
2023-04-10,6.391,33.21,38.7,2.4,0.07,Ghatkopar
2023-04-11,6.5486,32.95,44.8,2.05,0.09,Ghatkopar
2023-04-12,6.5657,33.5,41.25,2.58,1.31,Ghatkopar
2023-04-13,5.238,34.17,35.01,2.55,0.12,Ghatkopar
2023-04-14,5.2529,31.44,45.28,1.66,2.29,Ghatkopar
2023-04-15,6.9389,31.65,44.99,1.9,0.55,Ghatkopar
2023-04-16,7.1129,31.59,43.45,1.95,0.7,Ghatkopar
2023-04-17,6.9091,31.14,43.44,2.13,0.14,Ghatkopar
2023-04-18,6.3698,32.98,39.31,2.63,0.24,Ghatkopar
2023-04-19,6.1046,33.59,35.5,2.66,0.28,Ghatkopar
2023-04-20,6.611,31.4,47.0,2.49,0.76,Ghatkopar
2023-04-21,7.3968,29.66,54.63,2.4,0.08,Ghatkopar
2023-04-22,7.1614,28.93,58.87,2.42,0.0,Ghatkopar
2023-04-23,7.1098,29.47,57.48,2.64,0.0,Ghatkopar
2023-04-24,7.0966,30.57,49.32,2.13,0.0,Ghatkopar
2023-04-25,7.0728,31.69,35.23,2.35,0.0,Ghatkopar
2023-04-26,6.7471,29.1,59.91,2.47,0.31,Ghatkopar
2023-04-27,6.3754,29.79,55.27,1.96,0.16,Ghatkopar
2023-04-28,6.7747,30.01,55.49,2.19,0.21,Ghatkopar
2023-04-29,6.511,29.62,53.03,2.12,0.26,Ghatkopar
2023-04-30,7.2058,28.91,55.36,2.47,0.77,Ghatkopar
2023-05-01,5.7852,29.29,49.19,2.22,0.01,Ghatkopar
2023-05-02,7.2036,29.38,56.53,2.02,1.54,Ghatkopar
2023-05-03,7.2941,29.62,57.88,2.47,0.28,Ghatkopar
2023-05-04,7.1218,29.91,54.34,2.19,0.16,Ghatkopar
2023-05-05,7.1789,30.04,55.04,2.31,0.05,Ghatkopar
2023-05-06,6.9238,30.51,56.88,2.67,0.09,Ghatkopar
2023-05-07,6.2249,30.57,58.97,2.55,0.25,Ghatkopar
2023-05-08,6.2419,31.35,58.26,2.58,0.83,Ghatkopar
2023-05-09,6.3389,32.44,54.97,2.43,0.66,Ghatkopar
2023-05-10,6.7735,33.14,53.35,2.36,0.17,Ghatkopar
2023-05-11,7.1575,33.0,55.3,2.0,0.06,Ghatkopar
2023-05-12,7.3013,32.45,60.04,2.26,0.01,Ghatkopar
2023-05-13,7.4004,32.42,60.07,2.54,0.0,Ghatkopar
2023-05-14,7.6135,31.72,57.72,2.62,0.0,Ghatkopar
